codigoDeBarras|idLivro|exemplar|dataAquisicaoExemplar|dataCadastroSistema|classificacao|areaConhecimento|autores|titulo|ano|isbn|editora|paginas
97493654|309817|1|30/01/2016|28/09/2016|530.8 B823p Ac.309817|MEDIDAS FÍSICAS|BRASILIENSE, Mário Zanella. |O paquímetro sem mistério. |2000|8571930341 |Rio de Janeiro (RJ): Interciencia|77
97493655|309817|2|30/01/2016|28/09/2016|530.8 B823p Ac.309817|MEDIDAS FÍSICAS|BRASILIENSE, Mário Zanella. |O paquímetro sem mistério. |2000|8571930341 |Rio de Janeiro (RJ): Interciencia|77
97473098|302479|1|12/03/2015|06/10/2015|005.13 L324a Ac.302479|LINGUAGEM DE PROGRAMAÇÃO|LARMAN, Craig. |Applying UML and patterns :  an introduction to object-oriented analysis and design and interative development. |2006|0131489062|3rd. ed. Upper Saddle River, NJ: Prentice Hall|006
97473200|302479|2|06/04/2015|08/10/2015|005.13 L324a Ac.302479|LINGUAGEM DE PROGRAMAÇÃO|LARMAN, Craig. |Applying UML and patterns :  an introduction to object-oriented analysis and design and interative development. |2006|0131489062|3rd. ed. Upper Saddle River, NJ: Prentice Hall|006
97462998|230817|1|24/03/2014|15/05/2015|570 L864b Ac.230817|BIOLOGIA|LOPES, Sônia. |Biologia essencial. |2003|8502046063|São Paulo: Saraiva|032
97462842|151986|1|24/03/2014|14/05/2015|574 S676b Ac.151986|BIOLOGIA|SOARES, José Luis. |Biologia no terceiro milênio 2:   funções vitais, embriologia, genética. |1999|8526234501|São Paulo: Scipione|048
97379020|272410|1|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97379021|272410|2|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97379022|272410|3|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97379023|272410|4|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97379024|272410|5|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97379025|272410|6|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97379026|272410|7|01/12/2011|06/01/2012|301 M386q Ac.272410|SOCIOLOGIA E ANTROPOLOGIA|MARTINS, Carlos Benedito. |O que é sociologia. |2006|8511010572|São Paulo: Brasiliense|100
97462437|301752|1|09/01/2015|06/05/2015|006.6 S359g Ac.301752|COMPUTAÇÃO GRÁFICA|SCHNEIDER, Philip J.; EBERLY, David H. |Geometric tools for computer graphics. |2010|9781558605947|San Francisco: Morgan Kaufmann Publishers|1009
97462438|301752|2|09/01/2015|06/05/2015|006.6 S359g Ac.301752|COMPUTAÇÃO GRÁFICA|SCHNEIDER, Philip J.; EBERLY, David H. |Geometric tools for computer graphics. |2010|9781558605947|San Francisco: Morgan Kaufmann Publishers|1009
97483907|301907|1|09/03/2016|16/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97483908|301907|2|09/03/2016|16/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97483909|301907|3|09/03/2016|16/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97484263|301907|4|23/03/2016|18/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97484264|301907|5|23/03/2016|18/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97484265|301907|6|23/03/2016|18/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97484266|301907|7|23/03/2016|18/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97484267|301907|8|23/03/2016|18/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
97484268|301907|9|23/03/2016|18/05/2016|001.42 B147 Ac.301907|MÉTODOS DE PESQUISA|BAGNO, Marcos. |Pesquisa na escola:   o que é, como se faz. |2014|9788515018413|26. ed. São Paulo: Ed. Loyola|102
